,Surface Displacement,Displacement Into Surface,Load On Sample,Modulus,Stiffness^2/Load,Hardness,Row Number,Contact Depth,Contact Area,Time,Unnamed: 10
1,15775.263307491818,953.9901609423105,54.59327881343719,283.68482495864043,26474.41006869151,2.7566735143660184,0.0,919.9322734232803,19804042.273752026,117.69199999997215,1.0
2,15593.17433668863,973.3915661517683,55.398878099412734,346.32451594261386,37382.61119001933,2.6588016200311992,0.0,944.5195620061199,20836032.926278517,120.759999999965,2.0
3,15458.918937365168,944.8462278365535,57.43700862205634,375.3789286235843,38332.1611170278,2.9254221815659567,0.0,915.8143239372167,19633750.295593485,123.74399999995805,3.0
4,15713.373143309233,987.1421589404174,61.04356706080593,362.6270042748041,37271.8342072383,2.8577376227769156,0.0,956.7899130164493,21360801.836485177,127.1559999999501,4.0
5,16406.843595787894,989.0108210598846,63.35958000977586,424.1535896273473,45566.67148362938,2.9409042571510047,0.0,961.0439580309427,21544251.17911024,131.01599999996253,5.0
6,16528.99247491924,1082.114533505124,46.80646143427521,254.95530838669484,33856.742154119784,1.817131456560639,0.0,1054.2281891964806,25758434.407859392,134.30199999997822,6.0
7,16803.967254075593,922.4212184098609,29.051249355317577,193.31049033123145,25253.124241999747,1.5400098029850433,0.0,896.9830339196227,18864327.55103685,137.7719999999948,7.0
9,15943.017732893739,963.1387459514948,59.10246940738608,391.98184825101464,41303.23755479755,2.8938303560119953,0.0,934.7679167485744,20423612.3532948,143.04400000001996,9.0
10,15470.87745187694,933.8322672047044,59.6797053851806,380.0751781138015,36614.632905473765,3.1195246127757272,0.0,903.5528678088857,19131025.650757115,145.59200000003213,10.0
11,15241.538202611531,916.5340973642748,72.83581320270409,321.5040362016027,21823.705655286518,4.0657067899423565,0.0,873.2060115970801,17914674.364340167,148.44800000004577,11.0
12,15350.890179226411,820.7747771837701,71.01300517414175,297.8744406736522,15629.228821670615,5.042476199818594,0.0,770.2200891795935,14082962.885714063,151.62200000006092,12.0
13,15691.554050088998,912.8271215063293,64.40124614082013,382.48334702010806,32512.661527166638,3.5460123358979807,0.0,879.447443928388,18161596.75725194,155.0500000000773,13.0
14,16427.33211205352,923.8672300902342,30.920122619203806,173.71205080510555,19644.314049349185,1.649217110007719,0.0,894.1119917784705,18748363.954979274,158.8620000000955,14.0
16,16699.493213896505,817.0992515698151,36.94159762226232,306.66852764525595,33169.76005142677,2.4863641783997927,0.0,792.0699958619499,14857677.705941567,164.47200000012228,16.0
